City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
62,Castro,BR,2021-08-13 18:27:59,-24.79,-50.01,50.38,98,100,5.97,overcast clouds
63,Rio Grande,BR,2021-08-13 18:28:00,-32.03,-52.1,62.71,71,94,11.86,overcast clouds
64,Naze,JP,2021-08-13 18:28:00,28.37,129.48,78.06,87,69,19.13,broken clouds
65,Port Alfred,ZA,2021-08-13 18:26:17,-33.59,26.89,57.06,61,58,9.55,broken clouds
66,Togur,RU,2021-08-13 18:28:00,58.36,82.83,50.11,79,56,7.02,broken clouds
67,Aswan,EG,2021-08-13 18:27:49,24.09,32.91,97.0,13,3,9.33,clear sky
68,Namibe,AO,2021-08-13 18:26:53,-15.2,12.15,63.0,86,32,7.23,scattered clouds
69,Yerbogachen,RU,2021-08-13 18:28:01,61.28,108.01,61.3,87,100,4.43,overcast clouds
70,Nuuk,GL,2021-08-13 18:28:01,64.18,-51.72,65.01,39,90,34.52,sand
71,Laguna,US,2021-08-13 18:24:22,38.42,-121.42,99.64,51,1,3.44,haze
72,Guerrero Negro,MX,2021-08-13 18:27:21,27.98,-114.06,83.37,63,2,9.89,clear sky
73,Katsuura,JP,2021-08-13 18:28:01,35.13,140.3,78.91,91,100,27.18,moderate rain
74,Itigi,TZ,2021-08-13 18:28:02,-5.7,34.48,71.15,44,70,5.08,broken clouds
75,Pisco,PE,2021-08-13 18:26:36,-13.7,-76.22,66.02,77,1,12.66,clear sky
76,Atasu,KZ,2021-08-13 18:28:02,48.68,71.64,53.92,66,24,5.79,few clouds
77,Mar Del Plata,AR,2021-08-13 18:28:02,-38.0,-57.56,53.62,54,0,10.36,clear sky
78,Gualaquiza,EC,2021-08-13 18:25:01,-3.4,-78.55,74.75,64,90,2.08,light rain
79,Adrar,MR,2021-08-13 18:28:03,20.5,-10.07,108.34,9,29,14.45,scattered clouds
80,Yar-Sale,RU,2021-08-13 18:28:03,66.83,70.83,58.37,93,100,2.91,overcast clouds
81,Morehead,US,2021-08-13 18:28:03,37.27,-87.18,89.11,67,40,1.01,scattered clouds
82,Vardo,NO,2021-08-13 18:28:04,70.37,31.11,53.8,100,75,0.0,fog
83,Lagoa,PT,2021-08-13 18:28:04,39.05,-27.98,73.94,77,43,2.44,scattered clouds
84,Ponferrada,ES,2021-08-13 18:28:04,42.55,-6.6,92.82,35,0,4.0,clear sky
85,Fortuna,US,2021-08-13 18:28:04,40.6,-124.16,66.97,81,1,11.5,clear sky
86,Oranjemund,NA,2021-08-13 18:28:05,-28.55,16.43,56.26,65,0,17.4,clear sky
87,Prince Rupert,CA,2021-08-13 18:28:05,54.32,-130.32,68.09,84,1,2.3,clear sky
88,Punta Arenas,CL,2021-08-13 18:28:05,-53.15,-70.92,51.91,62,40,29.93,light rain
89,Lebu,CL,2021-08-13 18:26:40,-37.62,-73.65,52.3,69,0,6.02,clear sky
90,Broome,US,2021-08-13 18:28:06,42.25,-75.83,92.08,61,75,3.0,broken clouds
91,Safford,US,2021-08-13 18:28:06,32.83,-109.71,88.72,48,1,9.22,clear sky
92,Grobina,LV,2021-08-13 18:28:06,56.54,21.17,69.66,77,90,4.61,overcast clouds
93,Ugoofaaru,MV,2021-08-13 18:28:06,5.67,73.0,82.72,73,100,15.23,overcast clouds
94,Hermanus,ZA,2021-08-13 18:28:07,-34.42,19.23,50.81,77,4,14.85,clear sky
95,Belle Fourche,US,2021-08-13 18:28:07,44.67,-103.85,82.89,19,45,8.05,scattered clouds
96,Torbay,CA,2021-08-13 18:28:07,47.67,-52.73,71.28,86,75,17.27,broken clouds
97,Sitka,US,2021-08-13 18:27:41,57.05,-135.33,62.49,82,90,21.85,heavy intensity rain
98,Mahebourg,MU,2021-08-13 18:28:07,-20.41,57.7,68.25,88,20,6.91,few clouds
99,Port Hedland,AU,2021-08-13 18:28:08,-20.32,118.57,60.85,44,0,9.22,clear sky
100,East London,ZA,2021-08-13 18:26:33,-33.02,27.91,50.94,93,20,6.91,few clouds
101,Lompoc,US,2021-08-13 18:26:24,34.64,-120.46,89.22,58,1,3.44,clear sky
102,Totness,SR,2021-08-13 18:28:08,5.88,-56.32,83.1,71,80,7.99,broken clouds
103,Avarua,CK,2021-08-13 18:24:53,-21.21,-159.78,68.05,94,90,3.44,light intensity drizzle
104,Bambous Virieux,MU,2021-08-13 18:28:08,-20.34,57.76,68.22,88,20,6.91,few clouds
105,Port Elizabeth,ZA,2021-08-13 18:28:09,-33.92,25.57,50.29,66,20,3.44,few clouds
106,Faanui,PF,2021-08-13 18:28:09,-16.48,-151.75,78.48,69,65,10.63,broken clouds
107,Ribeira Grande,PT,2021-08-13 18:28:09,38.52,-28.7,75.6,88,75,11.5,broken clouds
108,Maracacume,BR,2021-08-13 18:28:10,-2.04,-45.96,81.07,85,49,6.78,scattered clouds
109,Kamenka,RU,2021-08-13 18:26:25,51.32,42.77,65.21,91,100,12.62,overcast clouds
110,Chokurdakh,RU,2021-08-13 18:26:28,70.63,147.92,43.57,77,77,20.02,broken clouds
111,Am Timan,TD,2021-08-13 18:28:10,11.03,20.28,74.48,90,94,5.53,moderate rain
112,Leningradskiy,RU,2021-08-13 18:28:10,69.38,178.42,40.44,96,100,2.95,overcast clouds
113,Tuatapere,NZ,2021-08-13 18:28:10,-46.13,167.68,42.82,84,84,17.9,broken clouds
114,Hilo,US,2021-08-13 18:26:16,19.73,-155.09,76.12,83,40,5.75,light rain
115,San Rafael,AR,2021-08-13 18:28:11,-34.62,-68.33,63.52,23,0,9.51,clear sky
116,Cape Town,ZA,2021-08-13 18:27:06,-33.93,18.42,54.88,66,0,3.0,clear sky
117,Auki,SB,2021-08-13 18:28:11,-8.77,160.7,75.85,89,84,4.79,broken clouds
118,Ayagoz,KZ,2021-08-13 18:27:41,47.97,80.44,57.72,78,91,14.72,overcast clouds
119,Hithadhoo,MV,2021-08-13 18:28:11,-0.6,73.08,82.53,73,88,13.29,overcast clouds
120,Ponta Delgada,PT,2021-08-13 18:28:12,37.73,-25.67,77.72,78,20,11.5,few clouds
121,Yulara,AU,2021-08-13 18:28:12,-25.24,130.99,49.84,34,0,6.91,clear sky
122,Bethel,US,2021-08-13 18:28:12,41.37,-73.41,95.81,58,20,1.99,few clouds
123,Thurso,GB,2021-08-13 18:28:13,58.59,-3.53,57.45,81,99,12.35,light rain
124,Tateyama,JP,2021-08-13 18:28:13,34.98,139.87,78.82,89,100,30.38,light rain
125,Bredasdorp,ZA,2021-08-13 18:28:13,-34.53,20.04,50.29,81,5,5.75,clear sky
