City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
163,Lasa,IT,77.88,overcast clouds,46.62,10.7,Pension Feldgärtenhof
166,Marawi,PH,66.65,moderate rain,8.0,124.29,Derogongan Residence
167,Newala,TZ,67.14,scattered clouds,-10.94,39.28,Country Lodge
171,Sinnamary,GF,82.24,broken clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
174,Nouadhibou,MR,75.18,sand,20.93,-17.03,El Medina
177,Nicoya,CR,85.55,broken clouds,10.15,-85.45,Las Cabinas Del Sueño
179,Hasaki,JP,77.4,moderate rain,35.73,140.83,Hotel Sunrise Choshi
181,Mount Isa,AU,67.77,overcast clouds,-20.73,139.5,ibis Styles Mt Isa Verona
184,Bonthe,SL,75.33,moderate rain,7.53,-12.5,Bonthe Holiday Village
188,Shenjiamen,CN,80.46,overcast clouds,29.96,122.3,Jinjiang Inn Zhoushan Putuo Shenjiamen
189,Arrecife,ES,76.98,few clouds,28.96,-13.55,Hotel Lancelot
194,Xaltianguis,MX,80.11,clear sky,17.07,-99.83,
198,Suriapet,IN,78.66,moderate rain,17.15,79.62,Bc A hostel
200,Yining,CN,75.94,light rain,29.04,114.56,Xiushui Hotel
201,Man,CI,73.96,light rain,7.41,-7.55,Sodetherm Hotel les Cascades Ma
202,Sao Joao Da Barra,BR,75.29,few clouds,-21.64,-41.05,Pousada Porto De Canoas
204,Tran,BG,74.88,few clouds,42.84,22.65,Erma & Spa Boutique Hotel
205,Shingu,JP,79.92,moderate rain,33.73,135.98,Shingu UI Hotel
207,Nangomba,TZ,78.66,broken clouds,-10.9,38.5,
209,Las Navas,PH,75.51,broken clouds,12.34,125.03,JMT SQUARE
211,Hay River,CA,75.18,broken clouds,60.82,-115.8,Ptarmigan Inn
216,Ponta Do Sol,PT,76.71,clear sky,32.67,-17.1,Hotel do Campo
217,Morant Bay,JM,85.62,overcast clouds,17.88,-76.41,Whispering Bamboo Cove Resort
218,Reyes,BO,80.76,few clouds,-14.32,-67.38,
219,Warrington,GB,68.92,few clouds,53.39,-2.58,Patten Arms Hotel
220,Trinidad,BO,84.18,clear sky,-14.83,-64.9,Hotel Piesta
222,Twin Falls,US,82.74,clear sky,42.35,-114.64,
223,Chikwawa,MW,76.8,clear sky,-16.03,34.8,Thawale Lodge
224,Gat,IL,85.41,clear sky,31.61,34.76,OlusHome
225,Omboue,GA,76.26,broken clouds,-1.57,9.26,Hotel Olako
226,Lorengau,PG,81.32,overcast clouds,-2.02,147.27,Lorengau Harbourside Hotel
228,Bud,US,84.04,broken clouds,39.45,-86.18,Ted McQuinn Trust
229,Mahon,ES,82.96,clear sky,39.89,4.27,ARTIEM Capri
230,Thongwa,MM,80.76,light rain,16.76,96.53,Mhaw Wun Marlar Park
231,Saint-Pierre,RE,71.24,clear sky,-21.34,55.48,Lindsey Hôtel
232,Netivot,IL,81.9,clear sky,31.42,34.59,Catering Gato - kosher catering Dairy
233,Sindor,RU,71.92,scattered clouds,62.86,51.89,
237,Takoradi,GH,77.29,overcast clouds,4.88,-1.76,Raybow International Hotel
239,Natal,BR,81.25,broken clouds,-5.8,-35.21,Villa Park Hotel | Natal
241,Burns Lake,CA,80.37,clear sky,54.23,-125.75,Burns Lake Bed and Breakfast
243,Abong Mbang,CM,73.78,overcast clouds,3.98,13.18,Hotel Delice Du Haut Nyong
247,Ankazoabo,MG,67.71,clear sky,-22.28,44.52,ENCEIN BUREAU CISCO
250,Olinda,BR,76.73,scattered clouds,-8.01,-34.86,Pousada Sitio Do Carmo
251,West Fargo,US,76.01,clear sky,46.88,-96.9,Hilton Garden Inn Fargo
252,Kahului,US,78.82,scattered clouds,20.89,-156.47,Maui Seaside Hotel
253,Sao Filipe,CV,77.32,broken clouds,14.9,-24.5,Hotel Xaguate
260,Namatanai,PG,78.21,overcast clouds,-3.67,152.43,Seagulls Inn Namatani
