City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
628,Hami,CN,87.3,broken clouds,42.8,93.45,Laoyutang Resort
629,Benguela,AO,70.45,scattered clouds,-12.58,13.41,Hotel Praia Morena
630,Ivybridge,GB,67.46,clear sky,50.39,-3.92,The Anchor Inn
631,Ingham,US,83.05,scattered clouds,42.6,-84.38,Sunset Place
632,Kariba,ZW,71.02,clear sky,-16.52,28.8,Caribbea Bay Hotel
633,Benjamin Constant,BR,82.53,broken clouds,-4.38,-70.03,CASA AVALIADA
634,Mabaruma,GY,87.8,scattered clouds,8.2,-59.78,Monty Brooms Guest House
635,Eregli,TR,71.1,overcast clouds,37.51,34.05,Hotel Fuat Bey
636,Kiyasovo,RU,71.82,clear sky,56.35,53.12,Гостиница Центральная
637,Khuldabad,IN,72.52,overcast clouds,20.05,75.18,Capital O 29643 Etranger Resort
638,Copala,MX,86.54,few clouds,16.65,-98.98,Biol. Fernando Martinez Salgado
641,Bacolod,PH,78.48,scattered clouds,10.67,122.95,Planta Hotel & Residences
642,Kudahuvadhoo,MV,82.63,overcast clouds,2.67,72.89,Kudahuvadhoo Retreat
647,Coevorden,NL,69.4,overcast clouds,52.66,6.74,Coevorden Castle
648,Senigallia,IT,87.28,scattered clouds,43.71,13.22,Hotel Sirena
650,Vorukh,TJ,65.41,clear sky,39.85,70.58,
651,Elko,US,89.64,clear sky,41.0,-115.5,
652,Severnyy,RU,69.84,clear sky,50.68,36.55,Full House North Mini-Hotel
653,Antsohihy,MG,71.96,clear sky,-14.88,47.99,Hotel de Ville
655,Caarapo,BR,80.1,overcast clouds,-22.63,-54.82,Hotel Pousada Quinta do Sul
662,Luba,GQ,77.92,few clouds,3.46,8.55,
665,Sindou,BF,72.54,overcast clouds,10.67,-5.17,LERABA HOTEL
666,Santa Isabel Do Rio Negro,BR,84.36,light rain,-0.41,-65.02,Hotel GSA
667,Almeirim,BR,81.86,broken clouds,-1.52,-52.58,Ricácio Hotel
669,Nioro,GM,79.68,overcast clouds,13.35,-15.75,
671,Lamisahan,PH,74.23,broken clouds,7.07,122.16,RB FARM
672,Kawambwa,ZM,65.77,clear sky,-9.79,29.08,"Uphill Country Lodge, Kawambwa"
673,Paita,PE,75.76,scattered clouds,-5.09,-81.11,Hotel Náutico de Paita
675,Taranto,IT,88.68,clear sky,40.62,17.25,Masseria Quis Ut Deus - Piscina riservata agli ospiti. Per il 2021 solo servizio B&B. Per prenotazioni e disponibilità controllare sul sito web
678,Buchanan,LR,77.34,overcast clouds,5.88,-10.05,Kamaneahn Hotel Inc
680,Lardos,GR,89.42,clear sky,36.09,28.02,Lindos Princess Beach Hotel
681,Margate,GB,70.92,broken clouds,51.38,1.39,Premier Inn Margate hotel
682,Yenagoa,NG,76.03,few clouds,4.92,6.26,Amba Hotels Limited
683,Axim,GH,76.42,overcast clouds,4.87,-2.24,Axim Beach Resort And Spa
684,Lithakia,GR,88.88,clear sky,37.72,20.83,Zante Plaza Hotel & Apartments
685,Maragogi,BR,76.19,clear sky,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
686,Port Keats,AU,72.41,clear sky,-14.25,129.55,TDC Village (Hundred Man Camp)
687,Nabire,ID,74.84,broken clouds,-3.37,135.48,Hotel Nusantara Nabire
689,Roberval,CA,84.65,broken clouds,48.52,-72.23,Hôtel Château Roberval
690,Chalus,IR,80.06,clear sky,36.66,51.42,نظام مهندسي ساختمان چالوس
691,Cuamba,MZ,74.14,broken clouds,-14.8,36.54,Hotel Vision
692,Diapaga,BF,73.27,overcast clouds,12.07,1.79,
694,Beaverlodge,CA,87.15,clear sky,55.22,-119.44,Side Trax Inn
695,Mato Verde,BR,85.87,few clouds,-15.4,-42.87,Quality Hotel
699,Mircea Voda,RO,70.29,clear sky,44.28,28.17,Cazare Medgidia
