City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Provideniya,RU,2021-08-06 05:22:42,64.3833,-173.3,55.51,58,75,6.71
68,Esperance,AU,2021-08-06 05:22:42,-33.8667,121.9,64.35,52,0,11.39
69,Bowen,AU,2021-08-06 05:22:43,-20.0167,148.2333,69.53,51,72,15.77
70,Oranjemund,NA,2021-08-06 05:22:43,-28.55,16.4333,53.51,73,1,2.04
71,Jacareacanga,BR,2021-08-06 05:22:44,-6.2222,-57.7528,70.88,47,7,0.58
72,Butaritari,KI,2021-08-06 05:22:44,3.0707,172.7902,83.1,65,9,11.16
73,Hammerfest,NO,2021-08-06 05:22:45,70.6634,23.6821,54.05,87,0,0.0
74,Punta Arenas,CL,2021-08-06 05:18:38,-53.15,-70.9167,35.71,80,75,27.63
75,Faya,SA,2021-08-06 05:22:46,18.3851,42.4509,73.51,48,86,5.35
76,Kolpashevo,RU,2021-08-06 05:22:46,58.3131,82.9089,67.8,72,49,5.01
77,Naduvattam,IN,2021-08-06 05:22:47,11.4833,76.5667,61.11,88,98,5.37
78,Aswan,EG,2021-08-06 05:22:47,24.0934,32.907,92.46,38,5,12.06
79,Salinopolis,BR,2021-08-06 05:22:48,-0.6136,-47.3561,77.65,86,3,9.44
80,Kahului,US,2021-08-06 05:19:15,20.8947,-156.47,78.06,86,75,18.41
81,Thompson,CA,2021-08-06 05:22:49,55.7435,-97.8558,50.16,76,90,2.3
82,Avera,US,2021-08-06 05:22:49,33.194,-82.5271,73.71,88,5,5.19
83,Nikolskoye,RU,2021-08-06 05:22:50,59.7035,30.7861,61.79,75,99,6.2
84,Katobu,ID,2021-08-06 05:22:50,-4.9408,122.5276,85.73,60,98,8.39
85,Port Elizabeth,ZA,2021-08-06 05:22:51,-33.918,25.5701,59.29,94,90,12.66
86,Ashtian,IR,2021-08-06 05:22:51,34.5217,50.0019,72.93,30,40,12.82
87,North Bay,CA,2021-08-06 05:22:51,46.3168,-79.4663,66.22,75,1,5.01
88,Bluff,NZ,2021-08-06 05:22:52,-46.6,168.3333,48.79,73,39,16.13
89,Puerto Ayora,EC,2021-08-06 05:22:53,-0.7393,-90.3518,70.56,94,67,4.0
90,Coquimbo,CL,2021-08-06 05:22:53,-29.9533,-71.3436,53.33,87,90,3.44
91,Bulalacao,PH,2021-08-06 05:22:54,12.3254,121.3435,84.04,78,52,18.5
92,Ushuaia,AR,2021-08-06 05:22:20,-54.8,-68.3,37.06,81,75,14.97
93,Gamba,GA,2021-08-06 05:22:54,-2.65,10.0,71.51,90,27,3.4
94,Eureka,US,2021-08-06 05:22:55,40.8021,-124.1637,62.2,76,62,1.99
95,Yulara,AU,2021-08-06 05:22:55,-25.2406,130.9889,64.24,27,0,10.36
96,Saint-Philippe,RE,2021-08-06 05:22:56,-21.3585,55.7679,73.22,72,32,11.34
97,Hithadhoo,MV,2021-08-06 05:22:56,-0.6,73.0833,81.72,74,97,8.61
98,Victor Harbor,AU,2021-08-06 05:22:57,-35.5667,138.6167,59.47,64,77,10.74
99,Portland,US,2021-08-06 05:19:03,45.5234,-122.6762,72.01,73,75,1.01
100,Edson,CA,2021-08-06 05:22:57,53.5835,-116.4356,64.54,77,1,3.44
101,Saint George,US,2021-08-06 05:20:14,37.1041,-113.5841,96.94,17,1,5.99
102,Havre-Saint-Pierre,CA,2021-08-06 05:22:58,50.2334,-63.5986,59.36,94,40,2.3
103,Panjakent,TJ,2021-08-06 05:22:59,39.4952,67.6093,85.8,21,0,5.61
104,Bac Giang,VN,2021-08-06 05:22:59,21.2667,106.2,96.87,49,100,6.44
105,Tautira,PF,2021-08-06 05:23:00,-17.7333,-149.15,78.82,72,39,5.53
106,Carinhanha,BR,2021-08-06 05:23:00,-14.3047,-43.765,66.29,72,94,7.56
107,Avarua,CK,2021-08-06 05:23:01,-21.2078,-159.775,69.85,83,43,1.14
108,Cockburn Town,TC,2021-08-06 05:23:01,21.4612,-71.1419,82.71,77,20,19.3
109,Grand Bank,CA,2021-08-06 05:23:02,47.0999,-55.765,65.98,97,100,13.42
110,Atikokan,CA,2021-08-06 05:23:02,48.7555,-91.6216,62.01,99,43,5.3
111,Port Hedland,AU,2021-08-06 05:23:03,-20.3167,118.5667,82.45,14,5,17.27
112,Dwarka,IN,2021-08-06 05:23:03,22.2394,68.9678,82.62,77,100,17.05
113,Nanortalik,GL,2021-08-06 05:23:04,60.1432,-45.2371,45.86,96,100,0.89
114,Otjiwarongo,NA,2021-08-06 05:23:04,-20.4637,16.6477,52.74,37,12,5.68
115,Hanko,FI,2021-08-06 05:23:05,59.8333,22.95,60.84,69,4,9.71
116,Mahibadhoo,MV,2021-08-06 05:23:06,3.7833,72.9667,81.52,78,100,12.57
117,Laguna,US,2021-08-06 05:23:06,38.421,-121.4238,76.32,64,1,1.01
118,Kulhudhuffushi,MV,2021-08-06 05:23:07,6.6221,73.07,82.27,72,100,15.66
119,Phan Thiet,VN,2021-08-06 05:21:06,10.9333,108.1,91.17,55,94,15.84
120,Bethel,US,2021-08-06 05:23:07,41.3712,-73.414,68.65,92,1,3.44
121,La Rioja,ES,2021-08-06 05:23:08,42.25,-2.5,59.49,86,69,1.48
122,Hervey Bay,AU,2021-08-06 05:23:09,-25.2986,152.8535,70.03,55,89,3.0
123,Sao Gabriel Da Cachoeira,BR,2021-08-06 05:23:09,-0.1303,-67.0892,68.45,99,46,1.68
124,Cabo San Lucas,MX,2021-08-06 05:20:05,22.8909,-109.9124,84.51,79,85,1.99
125,Souillac,MU,2021-08-06 05:23:10,-20.5167,57.5167,73.36,73,40,16.11
126,Santa Rosa,PH,2021-08-06 05:20:35,14.3122,121.1114,91.09,64,99,18.3
127,East London,ZA,2021-08-06 05:23:10,-33.0153,27.9116,61.74,72,0,20.71
128,Villarrica,PY,2021-08-06 05:23:11,-25.75,-56.4333,60.84,73,89,4.0
